Dataset,Accuracy,F1 Score,Precision,Recall
Ham,0.7523809523809524,0.7503825594801383,0.7573250455471011,0.7523809523809524
HandOutlines,0.9621621621621622,0.9619620582120582,0.9623187491953896,0.9621621621621622
Haptics,0.5746753246753247,0.5690951742522957,0.5872120341652933,0.5746753246753247
Herring,0.734375,0.7312871351072074,0.7315416224814422,0.734375
HouseTwenty,0.9831932773109243,0.9831418281598353,0.9836667061190674,0.9831932773109243
InlineSkate,0.5454545454545454,0.5429317271616354,0.5496200603849487,0.5454545454545454
InsectEPGRegularTrain,1.0,1.0,1.0,1.0
InsectEPGSmallTrain,0.9718875502008032,0.9716138481127282,0.9730689201744153,0.9718875502008032
InsectWingbeatSound,0.6343434343434343,0.6309797139730492,0.6362097056597229,0.6343434343434343
ItalyPowerDemand,0.966958211856171,0.966958211856171,0.966958211856171,0.966958211856171
LargeKitchenAppliances,0.888,0.8875534188034188,0.8910426171905734,0.888
Lightning2,0.7704918032786885,0.7704918032786885,0.7704918032786885,0.7704918032786885
Lightning7,0.8493150684931506,0.8509239698083124,0.8624775148747751,0.8493150684931506
Mallat,0.9616204690831557,0.9611975951027955,0.968034486933091,0.9616204690831557
Meat,0.9333333333333333,0.933249791144528,0.9363636363636363,0.9333333333333333
MedicalImages,0.781578947368421,0.7806617912783049,0.7931681997600364,0.781578947368421
MelbournePedestrian,0.9056990569905699,0.9059308948281614,0.9069316561710512,0.9056990569905699
MiddlePhalanxOutlineCorrect,0.8350515463917526,0.8334961149564832,0.8359689586493709,0.8350515463917526
MiddlePhalanxOutlineAgeGroup,0.5064935064935064,0.4991825979403619,0.49444510035419126,0.5064935064935064
MiddlePhalanxTW,0.512987012987013,0.5029392216605053,0.49761094520452814,0.512987012987013
MixedShapesRegularTrain,0.9802061855670103,0.9801737336222217,0.9803867509652452,0.9802061855670103
MixedShapesSmallTrain,0.9397938144329897,0.9396373764502193,0.9400289902229675,0.9397938144329897
MoteStrain,0.8801916932907349,0.8792385866602299,0.8842958459593602,0.8801916932907349
NonInvasiveFetalECGThorax1,0.9618320610687023,0.9618011636425112,0.9641438641648683,0.9618320610687023
NonInvasiveFetalECGThorax2,0.9633587786259542,0.9633028621303291,0.964214230713675,0.9633587786259542
OliveOil,0.7333333333333333,0.7179059829059828,0.7385281385281386,0.7333333333333333
OSULeaf,0.9421487603305785,0.9399978553516452,0.9464030359417012,0.9421487603305785
PhalangesOutlinesCorrect,0.837995337995338,0.8352891400718879,0.8380446472482846,0.837995337995338
Phoneme,0.3322784810126582,0.3103490817754738,0.31276823004123583,0.3322784810126582
PickupGestureWiimoteZ,0.78,0.7883333333333333,0.8204761904761905,0.78
PigAirwayPressure,0.5048076923076923,0.5089674214674215,0.6025412087912088,0.5048076923076923
PigArtPressure,0.9951923076923077,0.9951159951159951,0.9961538461538461,0.9951923076923077
PigCVP,0.9567307692307693,0.9547924297924298,0.9647435897435896,0.9567307692307693
PLAID,0.9199255121042831,0.9170099742055459,0.9203377530923423,0.9199255121042831
Plane,1.0,1.0,1.0,1.0
PowerCons,0.9611111111111111,0.9611099107997161,0.9611680454377083,0.9611111111111111
ProximalPhalanxOutlineCorrect,0.9209621993127147,0.9192078280164586,0.921927796476904,0.9209621993127147
ProximalPhalanxOutlineAgeGroup,0.8439024390243902,0.8460423232500608,0.8515226142552688,0.8439024390243902
ProximalPhalanxTW,0.7951219512195122,0.7752293491702991,0.7709452323621017,0.7951219512195122
RefrigerationDevices,0.5093333333333333,0.5051698323766353,0.5175648738819671,0.5093333333333333
Rock,0.84,0.8439799498746868,0.8625,0.84
ScreenType,0.5946666666666667,0.5929982343201681,0.596859796550199,0.5946666666666667
SemgHandGenderCh2,0.8633333333333333,0.8620005970446293,0.8620156416637041,0.8633333333333333
SemgHandMovementCh2,0.5111111111111111,0.5091147031407234,0.5340471922083794,0.5111111111111111
SemgHandSubjectCh2,0.7911111111111111,0.789907608360705,0.805252948227131,0.7911111111111111
ShakeGestureWiimoteZ,0.94,0.9366161616161617,0.95,0.94
ShapeletSim,0.7722222222222223,0.7716513505987189,0.7749719416386084,0.7722222222222223
ShapesAll,0.9133333333333333,0.9116714282735954,0.9255741943241944,0.9133333333333333
SmallKitchenAppliances,0.76,0.7605255138921343,0.7618316475070988,0.76
SmoothSubspace,0.9866666666666667,0.9866659999333266,0.9867973856209149,0.9866666666666667
SonyAIBORobotSurface1,0.8386023294509152,0.8380820047140478,0.8827025380234821,0.8386023294509152
SonyAIBORobotSurface2,0.9475341028331584,0.9476636197319641,0.9480104713942857,0.9475341028331584
StarLightCurves,0.9770519669742593,0.9768895848662459,0.976841036305829,0.9770519669742593
Strawberry,0.9837837837837838,0.9838360875421337,0.9841350400173929,0.9837837837837838
SwedishLeaf,0.9616,0.9614977941788202,0.9619257066979789,0.9616
Symbols,0.9809045226130654,0.9809427479697571,0.9810552147239263,0.9809045226130654
SyntheticControl,1.0,1.0,1.0,1.0
ToeSegmentation1,0.9736842105263158,0.9737004298110453,0.9743161783769769,0.9736842105263158
ToeSegmentation2,0.9307692307692308,0.9339928364318607,0.9441211118630474,0.9307692307692308
Trace,1.0,1.0,1.0,1.0
TwoLeadECG,0.9973661106233538,0.9973660984418004,0.9973799247284763,0.9973661106233538
TwoPatterns,1.0,1.0,1.0,1.0
UMD,0.9791666666666666,0.979298019387605,0.9803921568627452,0.9791666666666666
UWaveGestureLibraryAll,0.914572864321608,0.9139778085991236,0.9148358064656326,0.914572864321608
UWaveGestureLibraryX,0.8255164712451145,0.8248776113605162,0.8246275096830631,0.8255164712451145
UWaveGestureLibraryY,0.7629815745393634,0.75960331100097,0.7599448692575794,0.7629815745393634
UWaveGestureLibraryZ,0.7749860413176997,0.7703830066205686,0.7684013983783351,0.7749860413176997
Wafer,0.9988643737832577,0.9988662421628974,0.9988714902718486,0.9988643737832577
Wine,0.6666666666666666,0.625,0.8,0.6666666666666666
WordSynonyms,0.7210031347962382,0.7089066904694973,0.7362750937686852,0.7210031347962382
Worms,0.8311688311688312,0.8270177587262706,0.8312957718972757,0.8311688311688312
WormsTwoClass,0.8051948051948052,0.8061865166905045,0.8139579718527087,0.8051948051948052
Yoga,0.9183333333333333,0.9182537042127663,0.9184259933615447,0.9183333333333333
